districtid,weekid,cases
110,19,27
110,20,137
110,21,239
110,22,317
110,23,347
110,24,604
110,25,776
111,1,0
111,2,0
111,3,0
111,4,0
111,5,0
111,6,0
111,7,0
111,8,0
111,9,0
111,10,0
111,11,0
111,12,0
111,13,0
111,14,0
111,15,0
111,16,5
111,17,5
111,18,31
111,19,61
111,20,64
111,21,27
111,22,78
111,23,97
111,24,152
111,25,170
112,1,0
112,2,0
112,3,0
112,4,0
112,5,0
112,6,0
112,7,0
112,8,0
112,9,1
112,10,5
112,11,38
112,12,28
112,13,1
112,14,63
112,15,39
112,16,16
112,17,9
112,18,10
112,19,53
112,20,42
112,21,16
112,22,55
112,23,42
112,24,108
112,25,214
113,1,0
113,2,0
113,3,0
113,4,0
113,5,0
113,6,0
113,7,4
113,8,9
113,9,13
113,10,12
113,11,8
113,12,29
113,13,168
113,14,90
113,15,123
113,16,193
113,17,459
113,18,535
113,19,1114
113,20,1340
113,21,1033
113,22,673
113,23,821
113,24,809
113,25,759
114,1,0
114,2,0
114,3,0
114,4,0
114,5,0
114,6,0
114,7,1
114,8,27
114,9,1
114,10,0
114,11,8
114,12,30
114,13,88
114,14,101
114,15,40
114,16,49
114,17,137
114,18,337
114,19,390
114,20,404
114,21,429
114,22,446
114,23,550
114,24,557
114,25,787
115,1,0
115,2,0
115,3,0
115,4,0
115,5,0
115,6,0
115,7,0
115,8,0
115,9,6
115,10,29
115,11,26
115,12,23
115,13,17
115,14,10
115,15,7
115,16,15
115,17,7
115,18,11
115,19,21
115,20,87
115,21,123
115,22,149
115,23,142
115,24,142
115,25,141
116,1,0
116,2,0
116,3,0
116,4,0
116,5,0
116,6,0
116,7,0
116,8,5
116,9,11
116,10,24
116,11,92
116,12,64
116,13,20
116,14,47
116,15,16
116,16,12
116,17,24
116,18,23
116,19,43
116,20,88
116,21,143
116,22,207
116,23,146
116,24,225
116,25,282
117,1,0
117,2,0
117,3,0
117,4,0
117,5,0
117,6,0
117,7,11
117,8,51
117,9,20
117,10,54
117,11,57
117,12,76
117,13,46
117,14,81
117,15,90
117,16,132
117,17,168
117,18,321
117,19,456
117,20,525
117,21,633
117,22,701
117,23,753
117,24,754
117,25,797
118,1,0
118,2,0
118,3,0
118,4,0
118,5,0
118,6,0
118,7,0
118,8,0
118,9,1
118,10,3
118,11,5
118,12,5
118,13,10
118,14,16
118,15,22
118,16,35
118,17,36
118,18,80
118,19,81
118,20,172
118,21,158
118,22,234
118,23,216
118,24,162
118,25,191
119,1,0
119,2,0
119,3,0
119,4,0
119,5,0
119,6,0
119,7,129
119,8,145
119,9,13
119,10,17
119,11,56
119,12,60
119,13,167
