districtid,monthid,statemean,statestdev
177,5,1052.59,1261.4
177,6,2226.11,1930.06
177,7,246.84,214.18
178,1,0,0.0
178,2,71.41,283.92
178,3,1679.21,5758.69
178,4,3147.88,8111.76
178,5,7261.26,15308.95
178,6,10859.94,16306.27
178,7,2669.24,3742.27
179,1,0,0.0
179,2,12.38,30.83
179,3,188.84,264.26
179,4,240.41,320.14
179,5,720.56,950.22
179,6,1202.44,1424.39
179,7,236.97,330.84
180,1,0,0.0
180,2,34.12,149.11
180,3,386.72,1613.7
180,4,487.19,1614.74
180,5,878.88,1687.64
180,6,1070.53,1613.37
180,7,201.66,300.5
181,1,0,0.0
181,2,33.97,149.15
181,3,384.69,1614.15
181,4,488.69,1614.42
181,5,864.19,1687.52
181,6,1046.94,1613.3
181,7,197.41,300.7
182,1,0,0.0
182,2,12.28,30.87
182,3,189.97,263.97
182,4,279.91,376.86
182,5,738.03,948.93
182,6,1189.59,1423.33
182,7,236.34,331.11
183,1,0,0.0
183,2,10.49,45.15
183,3,106.08,313.03
183,4,104.65,249.19
183,5,352.57,639.67
183,6,627.35,1041.88
183,7,154.63,249.89
184,1,0,0.0
184,2,2.05,5.43
184,3,81,162.52
184,4,575,1163.96
184,5,954.86,1214.62
184,6,1389.86,970.77
184,7,443.43,294.93
185,1,0,0.0
185,2,3.76,6.85
185,3,89.46,51.57
185,4,163.08,90.79
185,5,1071.84,1271.33
185,6,2253.16,1933.57
185,7,253.68,214.64
186,1,0,0.0
186,2,8.67,43.6
186,3,88.37,288.39
186,4,82,178.92
186,5,288.02,451.73
186,6,548.55,911.39
186,7,136.75,223.76
187,1,0,0.0
187,2,2.14,4.33
187,3,86.34,87.51
187,4,398.76,787.17
187,5,3698.93,9190.72
187,6,7447.55,13132.93
187,7,1602.52,2780.33
188,1,0,0.0
188,2,0.12,0.59
188,3,17.42,18.04
188,4,90.77,93.45
188,5,239.46,504.82
188,6,839.62,1629.37
188,7,443,820.89
189,1,0,0.0
189,2,4.53,13.07
189,3,78.32,77.18
189,4,205.81,277.18
189,5,831.8,1036.16
189,6,1944.81,2614.86
189,7,392.91,548.5
190,1,0,0.0
190,2,12.41,30.82
190,3,191.12,263.51
190,4,276.31,377.92
190,5,698.44,936.04
190,6,1160.12,1405.85
190,7,229.97,331.59
191,1,0,0.0
191,2,0.12,0.59
191,3,15.54,17.14
191,4,85.73,94.66
191,5,224.15,503.52
191,6,811.69,1630.13
191,7,415,819.65
192,1,0,0.0
192,2,0,0.0
192,3,24.82,36.31
192,4,54.18,58.8
192,5,142.45,157.12
192,6,301.55,224.94
192,7,76.73,63.98
193,1,0,0.0
193,2,0,0.0
193,3,223.86,449.22
193,4,585.23,908.46
193,5,2334.05,3990.23
193,6,4139.73,4925.37
193,7,667.77,748.66
194,1,0,0.0
194,2,1.22,5.42
194,3,22.3,27.32
194,4,79.61,82.73
194,5,373.96,441.37
194,6,1263.7,1398.14
194,7,326.61,581.55
195,1,0,0.0
195,2,33.94,149.15
195,3,385.78,1613.92
195,4,492.09,1613.54
195,5,894.69,1682.88
195,6,1083.66,1608.31
195,7,203.91,299.57
196,1,0,0.0
196,2,1.38,3.77
196,3,61.1,84.72
196,4,176.1,210.27
196,5,852.34,1690.0
196,6,2454.72,2528.18
196,7,569.03,722.6
197,1,0,0.0
197,2,4.54,13.06
197,3,78.92,76.93
197,4,207.01,276.9
197,5,833.47,1035.38
197,6,1944.04,2615.12
197,7,393.45,548.37
198,1,0,0.0
198,2,4.47,9.07
198,3,91.68,87.69
198,4,249.74,214.39
198,5,631.63,829.68
198,6,847.84,1044.56
198,7,223.84,367.95
199,1,0,0.0
199,2,4.39,13.03
199,3,78.3,77.19
199,4,201.69,275.13
199,5,827.38,1037.24
199,6,1946.07,2614.39
199,7,393.65,548.31
200,1,0,0.0
200,2,71.44,283.91
200,3,1678.91,5758.78
200,4,3143.91,8113.29
200,5,7235.59,15320.43
200,6,10823.09,16328.08
200,7,2665.82,3744.28
201,1,0,0.0
201,2,12.41,30.82
201,3,193.22,262.22
201,4,283.06,374.96
201,5,746.16,944.59
201,6,1224.44,1417.03
201,7,234.69,331.64
202,1,0,0.0
202,2,10.47,45.15
202,3,101.27,311.86
202,4,106.04,249.34
202,5,355.55,638.73
202,6,628.92,1041.11
202,7,154.9,249.74
203,1,0,0.0
203,2,3.59,6.65
203,3,89.3,51.62
203,4,164.08,90.38
203,5,1086.62,1271.21
203,6,2255.32,1933.21
203,7,254.19,214.34
204,1,0,0.0
204,2,2.14,4.33
204,3,91.52,86.65
204,4,412.9,784.04
204,5,3732.31,9180.95
204,6,7469.34,13123.56
204,7,1605.62,2778.81
205,1,0,0.0
205,2,0,0.0
205,3,25.18,36.21
205,4,53.64,59.05
205,5,141.64,157.65
205,6,293.27,225.63
205,7,77.18,63.81
206,1,0,0.0
206,2,0.5,1.17
206,3,69.75,77.96
206,4,159.42,133.21
206,5,357,432.98
206,6,1031.83,1127.11
206,7,340.83,321.04
207,1,0,0.0
207,2,0.5,1.17
207,3,69.83,77.89
207,4,160.92,131.88
207,5,353.17,436.01
207,6,1038.33,1121.99
207,7,336.58,324.91
208,1,0,0.0
208,2,0,0.0
208,3,0,0.0
208,4,20.57,15.99
208,5,34.86,68.92
208,6,85.29,134.47
208,7,7.29,13.33
209,1,0,0.0
209,2,4.57,13.06
209,3,78.95,76.91
209,4,206.54,277.06
209,5,827.2,1037.26
209,6,1944.55,2614.95
209,7,394.08,548.15
210,1,0,0
210,2,0,0
210,3,0,0
210,4,0,0
210,5,0,0
210,6,0,0
210,7,0,0
211,1,0,0.0
211,2,71.44,283.91
211,3,1679.44,5758.62
211,4,3147.26,8112.0
211,5,7256.24,15311.32
211,6,10827.65,16325.55
211,7,2647.29,3753.23
212,1,0,0.0
212,2,0,0.0
212,3,0.04,0.2
212,4,4.5,10.13
212,5,51.92,157.51
212,6,95.38,127.24
212,7,31,60.83
213,1,0,0.0
213,2,2.05,5.43
213,3,81.86,162.18
213,4,590.1,1159.06
213,5,968.57,1205.81
213,6,1413.62,943.76
213,7,452.14,285.11
214,1,0,0.0
214,2,1.22,5.42
214,3,22.78,27.02
214,4,78.65,83.26
214,5,370.09,442.32
214,6,1299.09,1387.21
214,7,351.3,581.82
215,1,0,0.0
215,2,1.06,2.09
215,3,144.12,192.13
215,4,567.75,661.32
215,5,3043.25,2558.14
215,6,3873.31,2832.53
215,7,667.94,590.94
216,1,0,0.0
216,2,10.49,45.15
216,3,106.78,312.87
216,4,107.22,249.14
216,5,351.59,639.82
216,6,625.49,1042.64
216,7,153.27,250.39
217,1,0,0.0
217,2,10.49,45.15
217,3,107.08,312.78
217,4,106.96,249.21
217,5,354.96,638.97
217,6,624.9,1042.84
217,7,154.24,250.08
218,1,0,0.0
218,2,34.19,149.1
218,3,386.38,1613.78
218,4,492.38,1613.46
218,5,896.09,1682.21
218,6,1086.88,1606.51
218,7,204.03,299.5
219,1,0,0.0
219,2,2.14,4.33
219,3,87.45,88.12
219,4,411.34,784.77
219,5,3700.66,9190.31
219,6,7445.14,13133.89
219,7,1591.72,2784.77
220,1,0,0.0
220,2,2.14,4.33
220,3,90.9,87.26
220,4,411.9,784.52
220,5,3722.76,9184.14
220,6,7422.28,13142.37
220,7,1582.69,2787.48
221,1,0,0.0
221,2,2.14,4.33
221,3,90.21,87.77
221,4,413.24,783.86
221,5,3733.9,9180.4
221,6,7452.52,13130.89
221,7,1585.79,2786.65
222,1,0,0.0
222,2,4.57,13.06
222,3,78.73,77.05
222,4,207.57,276.64
222,5,835.5,1034.15
222,6,1953.39,2610.76
222,7,394.86,547.81
223,1,0,0.0
223,2,24.92,36.4
223,3,121.83,101.09
223,4,696.92,429.38
223,5,9709.33,4745.3
223,6,22297.25,7465.56
223,7,3964.58,1258.85
224,1,0,0.0
224,2,11.84,30.88
224,3,188.38,264.33
224,4,282.34,375.48
224,5,748.03,943.24
224,6,1219,1419.94
224,7,234.97,331.57
225,1,0,0.0
225,2,12.41,30.82
225,3,190.41,263.82
225,4,276.75,377.85
225,5,739.03,948.52
225,6,1227.94,1414.78
225,7,235.56,331.39
226,1,0,0.0
226,2,13,67.37
226,3,578.03,2436.43
226,4,1915.72,7622.05
226,5,4205.25,7261.27
226,6,4658.75,6227.67
226,7,735.69,900.61
227,1,0,0.0
227,2,0,0.0
227,3,226.68,448.39
227,4,582.5,909.65
227,5,2328.32,3993.22
227,6,4108.68,4940.31
227,7,645.32,754.22
228,1,0,0.0
228,2,12.97,67.37
228,3,564.56,2438.43
228,4,1908.91,7623.35
228,5,4276.12,7250.26
228,6,4730.88,6285.04
228,7,757.56,945.22
229,1,0,0.0
229,2,1.38,3.77
229,3,58.83,84.55
229,4,160.07,204.39
229,5,804,1690.95
229,6,2256.83,2446.96
229,7,514.62,688.23
230,1,0,0.0
230,2,0,0.0
230,3,0,0.0
230,4,53,56.57
230,5,263.5,277.89
230,6,307,220.62
230,7,42,43.84
231,1,0,0.0
231,2,34.16,149.11
231,3,386.03,1613.86
231,4,492.34,1613.47
231,5,883.25,1686.83
231,6,1072.34,1612.89
231,7,202.91,300.05
232,1,0,0.0
232,2,0.12,0.59
232,3,17.42,18.04
232,4,90.58,93.63
232,5,237.38,505.41
232,6,846.77,1627.01
232,7,442.23,821.21
233,1,0,0.0
233,2,0,0.0
233,3,229.09,447.34
233,4,584.14,908.96
233,5,2304,4003.69
233,6,4089.09,4947.31
233,7,667.05,749.1
234,1,0,0.0
234,2,2.03,4.35
234,3,87.59,88.17
234,4,392.97,786.17
234,5,3582.97,9195.37
234,6,7286.31,13167.21
234,7,1549.03,2789.56
235,1,0,0.0
235,2,0,0.0
235,3,1,1.41
235,4,59,65.05
235,5,238,241.83
235,6,377.5,320.32
235,7,45.5,48.79
236,1,0,0.0
236,2,10.49,45.15
236,3,106.71,312.9
236,4,107.61,249.01
236,5,354.12,639.27
236,6,622.06,1043.57
236,7,152.55,250.5
237,1,0,0.0
237,2,34.16,149.11
237,3,387,1613.63
237,4,493,1613.27
237,5,898.72,1680.86
237,6,1090.69,1604.09
237,7,204.94,298.94
238,1,0,0.0
238,2,3.86,6.9
238,3,89.16,51.64
238,4,161.14,90.35
238,5,1093.76,1268.74
238,6,2267.51,1929.42
238,7,252.49,215.17
239,1,0,0.0
239,2,0,0.0
239,3,229,447.39
239,4,571.95,912.39
239,5,2270.5,4012.25
239,6,4077.27,4950.62
239,7,659.27,752.67
240,1,0,0.0
240,2,10.49,45.15
240,3,107.02,312.8
240,4,107.59,249.02
240,5,353.41,639.48
240,6,621.47,1043.67
240,7,153.2,250.41
241,1,0,0.0
241,2,12.41,30.82
241,3,192.38,262.81
241,4,280.59,376.53
241,5,744.75,945.51
241,6,1228,1414.74
241,7,237.88,330.37
242,1,0,0.0
242,2,2.07,4.35
242,3,86.34,87.51
242,4,408.69,785.8
242,5,3692.45,9192.18
242,6,7273.17,13167.3
242,7,1562.72,2790.24
243,1,0,0.0
243,2,0.25,0.87
243,3,53.92,66.95
243,4,126.33,96.58
243,5,277.92,396.58
243,6,851.5,1054.55
243,7,256.5,238.38
244,1,0,0
244,2,0,0
244,3,0,0
244,4,0,0
244,5,0,0
244,6,0,0
244,7,0,0
245,1,0,0.0
245,2,1.34,3.78
245,3,61.17,84.7
245,4,175.55,210.7
245,5,854.34,1689.03
245,6,2467.1,2517.16
245,7,574,719.31
246,1,0,0.0
246,2,1.22,5.42
246,3,22.7,27.09
246,4,78.96,83.12
246,5,371.48,442.08
246,6,1277.35,1396.61
246,7,347.65,583.43
247,1,0,0.0
247,2,4.57,13.06
247,3,78,77.18
247,4,206.64,277.03
247,5,825.15,1037.25
247,6,1921.66,2615.22
247,7,391.31,548.67
248,1,0,0.0
248,2,34.19,149.1
248,3,386.59,1613.73
248,4,492.75,1613.34
248,5,898.41,1681.03
248,6,1085.19,1607.48
248,7,203.19,299.93
249,1,0,0.0
249,2,10.47,45.15
249,3,105.84,313.07
249,4,105.41,249.32
249,5,352.96,639.59
249,6,624.96,1042.82
249,7,153.69,250.28
250,1,0,0.0
250,2,0.14,0.38
250,3,19.71,16.86
250,4,148.43,166.39
250,5,456.29,311.9
250,6,879.29,830.36
250,7,365.29,418.61
251,1,0,0.0
251,2,0.12,0.59
251,3,17.31,18.14
251,4,90.62,93.6
251,5,241.08,504.2
251,6,844.88,1627.71
251,7,437.19,822.84
252,1,0,0.0
252,2,1.22,5.42
252,3,20.61,26.66
252,4,75.7,83.16
252,5,367.96,442.49
252,6,1208.17,1369.64
252,7,342.65,584.71
253,1,0,0.0
253,2,10.25,45.17
253,3,105.71,313.08
253,4,106.82,249.24
253,5,352.86,639.61
253,6,620.9,1043.75
253,7,152.63,250.49
254,1,0,0.0
254,2,13,67.37
254,3,577.94,2436.45
254,4,1925.72,7619.76
254,5,4317.84,7232.72
254,6,4976.91,6267.66
254,7,821.56,973.21
255,1,0,0.0
255,2,2.14,4.33
255,3,90.24,87.75
255,4,403.72,786.97
255,5,3625.07,9198.94
255,6,7278.34,13167.31
255,7,1566.1,2790.08
256,1,0,0.0
256,2,1.38,3.77
256,3,61.62,84.49
256,4,174.31,211.5
256,5,848.17,1691.77
256,6,2425.1,2546.78
256,7,564.59,724.63
257,1,0,0.0
257,2,12.19,30.89
257,3,191.78,263.17
257,4,264.03,372.71
257,5,732.91,950.44
257,6,1206.19,1423.96
257,7,235.75,331.33
258,1,0,0.0
258,2,71.44,283.91
258,3,1676.74,5759.4
258,4,3121.24,8120.67
