Date,State,District,Cases
2020-05-31 00:00:00,RJ,683,11
2020-06-01 00:00:00,RJ,683,10
2020-06-02 00:00:00,RJ,683,4
2020-06-03 00:00:00,RJ,683,2
2020-06-04 00:00:00,RJ,683,8
2020-06-05 00:00:00,RJ,683,1
2020-06-06 00:00:00,RJ,683,9
2020-06-07 00:00:00,RJ,683,1
2020-06-08 00:00:00,RJ,683,0
2020-06-09 00:00:00,RJ,683,0
2020-06-10 00:00:00,RJ,683,3
2020-06-11 00:00:00,RJ,683,5
2020-06-12 00:00:00,RJ,683,2
2020-06-13 00:00:00,RJ,683,3
2020-06-14 00:00:00,RJ,683,3
2020-06-15 00:00:00,RJ,683,1
2020-06-16 00:00:00,RJ,683,20
2020-06-17 00:00:00,RJ,683,5
2020-06-18 00:00:00,RJ,683,4
2020-06-19 00:00:00,RJ,683,1
2020-06-20 00:00:00,RJ,683,7
2020-06-21 00:00:00,RJ,683,4
2020-06-22 00:00:00,RJ,683,13
2020-06-23 00:00:00,RJ,683,5
2020-06-24 00:00:00,RJ,683,7
2020-06-25 00:00:00,RJ,683,7
2020-06-26 00:00:00,RJ,683,0
2020-06-27 00:00:00,RJ,683,4
2020-06-28 00:00:00,RJ,683,4
2020-06-29 00:00:00,RJ,683,12
2020-06-30 00:00:00,RJ,683,6
2020-07-01 00:00:00,RJ,683,10
2020-07-02 00:00:00,RJ,683,22
2020-07-03 00:00:00,RJ,683,17
2020-07-04 00:00:00,RJ,683,20
2020-07-05 00:00:00,RJ,683,10
2020-07-06 00:00:00,RJ,683,10
2020-07-07 00:00:00,RJ,683,3
2020-07-08 00:00:00,RJ,683,17
2020-07-09 00:00:00,RJ,683,15
2020-07-10 00:00:00,RJ,683,3
2020-07-11 00:00:00,RJ,683,36
2020-07-12 00:00:00,RJ,683,4
2020-07-13 00:00:00,RJ,683,31
2020-07-14 00:00:00,RJ,683,10
2020-07-15 00:00:00,RJ,683,5
2020-07-16 00:00:00,RJ,683,18
2020-07-17 00:00:00,RJ,683,12
2020-07-18 00:00:00,RJ,683,12
2020-07-19 00:00:00,RJ,683,19
2020-07-20 00:00:00,RJ,683,27
2020-07-21 00:00:00,RJ,683,7
2020-07-22 00:00:00,RJ,683,34
2020-07-23 00:00:00,RJ,683,11
2020-07-24 00:00:00,RJ,683,21
2020-07-25 00:00:00,RJ,683,10
2020-07-26 00:00:00,RJ,683,33
2020-07-27 00:00:00,RJ,683,22
2020-07-28 00:00:00,RJ,683,29
2020-07-29 00:00:00,RJ,683,79
2020-07-30 00:00:00,RJ,683,4
2020-07-31 00:00:00,RJ,683,50
2020-08-01 00:00:00,RJ,683,0
2020-08-02 00:00:00,RJ,683,30
2020-08-03 00:00:00,RJ,683,31
2020-08-04 00:00:00,RJ,683,32
2020-08-05 00:00:00,RJ,683,39
2020-08-06 00:00:00,RJ,683,82
2020-08-07 00:00:00,RJ,683,0
2020-08-08 00:00:00,RJ,683,47
2020-08-09 00:00:00,RJ,683,78
2020-08-10 00:00:00,RJ,683,38
2020-08-11 00:00:00,RJ,683,0
2020-08-12 00:00:00,RJ,683,38
2020-08-13 00:00:00,RJ,683,53
