districtid,overallid,neighborhoodzscore,statezscore
203,1,-0.29,-0.24
204,1,-0.53,-0.42
205,1,-0.46,-0.24
206,1,-0.65,-0.78
207,1,-0.93,-0.78
208,1,-0.66,-0.6
209,1,-0.39,-0.3
210,1,1.76,0.0
211,1,-0.49,-0.49
212,1,-0.44,1.02
213,1,-2.07,-0.92
214,1,-0.83,-0.51
215,1,21.11,22.31
216,1,-0.44,-0.27
217,1,-0.48,-0.35
218,1,-0.76,-0.44
219,1,-0.76,-0.33
220,1,-1.34,-0.32
221,1,-0.89,-0.37
222,1,-0.46,-0.63
223,1,1.32,0.37
224,1,-0.52,-0.55
225,1,-0.73,-0.52
226,1,7.53,0.26
227,1,-0.57,-0.39
228,1,1.66,0.06
229,1,0.79,1.37
230,1,-0.7,0.89
231,1,1.17,-0.29
232,1,-0.7,-0.38
233,1,0.12,-0.35
234,1,1.8,0.07
235,1,0.0,0.54
236,1,-0.34,-0.24
237,1,-0.66,-0.48
238,1,-1.27,-0.41
239,1,2.5,-0.21
240,1,-0.86,-0.24
241,1,-0.77,-0.67
242,1,0.19,-0.08
243,1,1.52,2.0
244,1,35.38,0.0
245,1,-1.53,-0.83
246,1,0.03,-0.28
247,1,-0.03,0.2
248,1,-0.71,-0.44
249,1,-0.44,-0.24
250,1,0.51,-0.28
251,1,-0.51,-0.35
252,1,0.85,0.55
253,1,-0.43,-0.15
254,1,-1.15,-0.47
255,1,1.15,-0.01
256,1,-0.64,-0.45
257,1,-0.0,-0.1
258,1,-0.21,-0.36
259,1,-0.56,4.31
260,1,0.0,-0.22
261,1,-0.52,-0.49
262,1,0.0,-11.5
263,1,-0.65,-0.76
264,1,-0.73,-0.58
265,1,0.21,-0.5
266,1,0.06,1.01
267,1,1.0,0.48
268,1,-0.16,-0.31
269,1,0.37,3.33
270,1,-0.71,-0.4
271,1,-0.34,0.09
272,1,13.91,12.8
273,1,-0.44,0.38
274,1,3.51,3.35
275,1,-0.03,0.28
276,1,-0.29,-0.37
277,1,-0.67,-0.56
278,1,1.12,-0.24
279,1,-0.43,4.01
280,1,-0.65,-0.5
281,1,-0.51,-0.47
282,1,-0.37,-0.67
283,1,-0.97,-0.6
284,1,-0.34,-0.47
285,1,-0.01,-0.64
286,1,-0.06,-0.28
287,1,-0.43,-0.42
288,1,-0.79,-0.27
289,1,-0.37,-0.55
290,1,-0.89,-0.23
291,1,-0.58,-0.2
292,1,-0.32,-0.07
293,1,-0.59,-0.64
294,1,0.78,3.96
295,1,-0.41,-0.34
296,1,-0.5,-0.4
297,1,-0.33,1.22
298,1,2.35,0.31
299,1,-0.39,1.33
300,1,-0.23,-0.09
301,1,-0.17,-0.32
302,1,0.53,0.11
303,1,2.08,0.0
304,1,-0.47,-0.5
305,1,0.93,-0.05
306,1,0.27,-0.15
307,1,0.55,-0.53
308,1,-1.29,-0.26
309,1,7.11,1.71
310,1,-0.32,-0.46
311,1,-0.54,-0.41
312,1,-0.33,0.17
313,1,0.46,-0.01
314,1,-0.29,3.62
315,1,7.45,2.13
316,1,0.11,0.13
317,1,-0.55,-0.65
318,1,-1.07,-0.74
319,1,-1.05,-0.38
320,1,-2.15,-0.36
321,1,-0.46,-0.14
322,1,1.37,2.27
323,1,0.05,-0.13
324,1,-1.1,-0.65
325,1,-1.0,-0.32
326,1,-0.43,0.0
327,1,-0.94,-0.54
328,1,1.19,-0.16
329,1,-0.21,0.06
330,1,-0.33,-0.32
331,1,-0.12,-0.34
332,1,-0.29,0.61
333,1,-1.39,-1.17
334,1,22.3,6.88
335,1,19.18,1.43
336,1,-0.8,-0.39
337,1,3.26,3.52
